experiment,condition,dim,run,seed,algo,best_f,PSRR_DB,penalty,is_feasible,runtime_sec
pressure,frozen,12,21,21042,PSO,-107.45956520812106,107.45956520812106,0,1,16.908870899991598
pressure,frozen,12,21,21042,GA,-107.4488151466131,107.4488151466131,0,1,39.00871089997236
pressure,frozen,12,21,21042,ACO,903.6156582345312,96.38434176546872,1,0,36.03407819999848
pressure,frozen,12,22,22042,ABC,-114.63255696203242,114.63255696203242,0,1,40.56028930004686
pressure,frozen,12,22,22042,GWO,-107.36593736878602,107.36593736878602,0,1,30.375784900039434
pressure,frozen,12,22,22042,FA,-110.8950833181381,110.8950833181381,0,1,90.57815950002988
pressure,frozen,12,22,22042,PSO,-114.95584203191596,114.95584203191596,0,1,14.72017380001489
pressure,frozen,12,22,22042,GA,-114.78105364282628,114.78105364282628,0,1,44.91010749997804
pressure,frozen,12,22,22042,ACO,-115.04469514715672,115.04469514715672,0,1,42.36693160003051
pressure,frozen,12,23,23042,ABC,900.3650512874977,99.6349487125022,1,0,35.26871039997786
pressure,frozen,12,23,23042,GWO,903.9067989378422,96.0932010621578,1,0,32.23829529999057
pressure,frozen,12,23,23042,FA,904.2984083671691,95.70159163283073,1,0,83.93139449995942
pressure,frozen,12,23,23042,PSO,904.1790364236608,95.82096357633924,1,0,19.30338940001093
pressure,frozen,12,23,23042,GA,904.0913491790816,95.90865082091824,1,0,40.95137710002018
pressure,frozen,12,23,23042,ACO,903.6612997053606,96.33870029463937,1,0,41.14906039997004
pressure,frozen,12,24,24042,ABC,903.660876702014,96.33912329798588,1,0,35.86029280000366
pressure,frozen,12,24,24042,GWO,903.6663145543126,96.33368544568738,1,0,34.584723600011785
pressure,frozen,12,24,24042,FA,905.4223868755108,94.577613124489,1,0,82.01421330001904
pressure,frozen,12,24,24042,PSO,-91.69175728754612,91.69175728754612,0,1,19.35559880000073
pressure,frozen,12,24,24042,GA,903.6997822636332,96.3002177363667,1,0,49.61629759997595
pressure,frozen,12,24,24042,ACO,903.6621201208663,96.3378798791335,1,0,37.06907130003674
pressure,frozen,12,25,25042,ABC,-100.88837549522658,100.88837549522658,0,1,39.883186499995645
pressure,frozen,12,25,25042,GWO,903.6655351531622,96.33446484683788,1,0,35.9305519000045
pressure,frozen,12,25,25042,FA,892.8946012340099,107.10539876599007,1,0,75.23880349996034
pressure,frozen,12,25,25042,PSO,893.3748599842451,106.62514001575497,1,0,21.047740800015163
pressure,frozen,12,25,25042,GA,892.8275246988496,107.17247530115036,1,0,46.15557020000415
pressure,frozen,12,25,25042,ACO,903.6611464459954,96.33885355400452,1,0,35.59582919999957
pressure,frozen,12,26,26042,ABC,-107.66472841077922,107.66472841077922,0,1,37.62238570000045
pressure,frozen,12,26,26042,GWO,898.1729832799012,101.82701672009874,1,0,35.175411300035194
pressure,frozen,12,26,26042,FA,-105.28685585812975,105.28685585812975,0,1,81.24594660004368
pressure,frozen,12,26,26042,PSO,-107.7856791387968,107.7856791387968,0,1,21.757988600002136
