dim,pop,budget,seed_base,run,algo,best_fitness,is_feasible,penalty,PSRR_DB
7,20,2500,20260806,14,GWO,-111.74203839980821,1,0,111.74203839980821
7,20,2500,20260806,14,FA,-115.69227589731672,1,0,115.69227589731672
7,20,2500,20260806,14,PSO,-116.80811259204543,1,0,116.80811259204543
7,20,2500,20260806,14,GA,-116.76455920979932,1,0,116.76455920979932
7,20,2500,20260806,14,ACO,-116.73483078760708,1,0,116.73483078760708
7,20,2500,20260806,15,ABC,-102.3070593748934,1,0,102.3070593748934
7,20,2500,20260806,15,GWO,-99.4191553885595,1,0,99.4191553885595
7,20,2500,20260806,15,FA,889.1859182745436,0,1,110.8140817254564
7,20,2500,20260806,15,PSO,-102.38785057748579,1,0,102.38785057748579
7,20,2500,20260806,15,GA,889.1578509397473,0,1,110.84214906025277
7,20,2500,20260806,15,ACO,889.1204643242685,0,1,110.87953567573147
7,20,2500,20260806,16,ABC,-101.31765382226354,1,0,101.31765382226354
7,20,2500,20260806,16,GWO,897.452475964808,0,1,102.54752403519205
7,20,2500,20260806,16,FA,-99.58777067365037,1,0,99.58777067365037
7,20,2500,20260806,16,PSO,896.9142640700078,0,1,103.08573592999224
7,20,2500,20260806,16,GA,-100.97839487575021,1,0,100.97839487575021
7,20,2500,20260806,16,ACO,896.2106694173028,0,1,103.78933058269723
7,20,2500,20260806,17,ABC,-99.03599147207431,1,0,99.03599147207431
7,20,2500,20260806,17,GWO,-98.3638232547044,1,0,98.3638232547044
7,20,2500,20260806,17,FA,-99.0313602651436,1,0,99.0313602651436
7,20,2500,20260806,17,PSO,-99.05360358578864,1,0,99.05360358578864
7,20,2500,20260806,17,GA,895.421080674024,0,1,104.57891932597602
7,20,2500,20260806,17,ACO,-99.05366705413039,1,0,99.05366705413039
7,20,2500,20260806,18,ABC,-104.25816650405756,1,0,104.25816650405756
7,20,2500,20260806,18,GWO,-97.26677651925698,1,0,97.26677651925698
7,20,2500,20260806,18,FA,-104.02405887569523,1,0,104.02405887569523
7,20,2500,20260806,18,PSO,893.6621283206143,0,1,106.33787167938561
7,20,2500,20260806,18,GA,893.3266346605211,0,1,106.67336533947886
7,20,2500,20260806,18,ACO,-104.304168619373,1,0,104.304168619373
7,20,2500,20260806,19,ABC,-112.1829335744973,1,0,112.1829335744973
7,20,2500,20260806,19,GWO,-109.23468726778358,1,0,109.23468726778358
7,20,2500,20260806,19,FA,-101.86341891109242,1,0,101.86341891109242
7,20,2500,20260806,19,PSO,886.1885354277376,0,1,113.8114645722624
7,20,2500,20260806,19,GA,-112.17623665795377,1,0,112.17623665795377
7,20,2500,20260806,19,ACO,885.3685770977502,0,1,114.63142290224977
7,20,2500,20260806,20,ABC,900.2903338629557,0,1,99.70966613704434
7,20,2500,20260806,20,GWO,900.1287733205901,0,1,99.87122667940989
7,20,2500,20260806,20,FA,900.079760787447,0,1,99.92023921255308
7,20,2500,20260806,20,PSO,900.054610316874,0,1,99.945389683126
7,20,2500,20260806,20,GA,900.0574819595495,0,1,99.94251804045052
7,20,2500,20260806,20,ACO,903.6461320994688,0,1,96.35386790053127
7,20,2500,20260806,21,ABC,-108.38370670119686,1,0,108.38370670119686
7,20,2500,20260806,21,GWO,-107.70273887222132,1,0,107.70273887222132
7,20,2500,20260806,21,FA,-108.29385106160913,1,0,108.29385106160913
7,20,2500,20260806,21,PSO,-108.21574598796603,1,0,108.21574598796603
7,20,2500,20260806,21,GA,884.4485201017552,0,1,115.55147989824475
7,20,2500,20260806,21,ACO,-108.34502290618745,1,0,108.34502290618745
7,20,2500,20260806,22,ABC,-99.63082517557459,1,0,99.63082517557459
7,20,2500,20260806,22,GWO,-94.51937654967533,1,0,94.51937654967533
7,20,2500,20260806,22,FA,-99.60911252319141,1,0,99.60911252319141
7,20,2500,20260806,22,PSO,-95.96401914415783,1,0,95.96401914415783
7,20,2500,20260806,22,GA,896.622173158466,0,1,103.37782684153403
7,20,2500,20260806,22,ACO,-98.19029115231453,1,0,98.19029115231453
7,20,2500,20260806,23,ABC,-100.47817514890255,1,0,100.47817514890255
7,20,2500,20260806,23,GWO,-100.15602401726589,1,0,100.15602401726589
7,20,2500,20260806,23,FA,-98.15781648105326,1,0,98.15781648105326
7,20,2500,20260806,23,PSO,-103.30059206773913,1,0,103.30059206773913
7,20,2500,20260806,23,GA,890.2036589443485,0,1,109.79634105565147
7,20,2500,20260806,23,ACO,-103.29184734032536,1,0,103.29184734032536
7,20,2500,20260806,24,ABC,-116.6142713390323,1,0,116.6142713390323
7,20,2500,20260806,24,GWO,-113.69326437659406,1,0,113.69326437659406
7,20,2500,20260806,24,FA,-116.6190819614177,1,0,116.6190819614177
7,20,2500,20260806,24,PSO,-116.67692192754858,1,0,116.67692192754858
7,20,2500,20260806,24,GA,-116.6198425833924,1,0,116.6198425833924
7,20,2500,20260806,24,ACO,-116.6770067971335,1,0,116.6770067971335
7,20,2500,20260806,25,ABC,-111.672727984148,1,0,111.672727984148
7,20,2500,20260806,25,GWO,-110.52780689707491,1,0,110.52780689707491
7,20,2500,20260806,25,FA,-111.67262444203838,1,0,111.67262444203838
7,20,2500,20260806,25,PSO,-111.24176964119027,1,0,111.24176964119027
7,20,2500,20260806,25,GA,-111.65702058567264,1,0,111.65702058567264
7,20,2500,20260806,25,ACO,-110.75971794981659,1,0,110.75971794981659
7,20,2500,20260806,26,ABC,-108.89966189436939,1,0,108.89966189436939
