experiment,condition,dim,run,seed,algo,best_f,PSRR_DB,penalty,is_feasible,runtime_sec
dim,D16,16,3,3042,GA,-111.19583758233097,111.19583758233097,0,1,46.918019100034144
dim,D16,16,3,3042,ACO,-101.76535547383033,101.76535547383033,0,1,47.64915499999188
dim,D16,16,4,4042,ABC,892.3463033288177,107.65369667118227,1,0,19.39831580000464
dim,D16,16,4,4042,GWO,903.6647013647674,96.33529863523256,1,0,15.89209129998926
dim,D16,16,4,4042,FA,905.2194934029644,94.78050659703544,1,0,42.581185700022615
dim,D16,16,4,4042,PSO,895.0684075333977,104.93159246660235,1,0,20.681364900025077
dim,D16,16,4,4042,GA,904.1092119633483,95.89078803665154,1,0,48.73247829999309
dim,D16,16,4,4042,ACO,903.5803621730804,96.4196378269197,1,0,44.59923609998077
dim,D16,16,5,5042,ABC,-100.68745181324354,100.68745181324354,0,1,19.14684190001572
dim,D16,16,5,5042,GWO,903.6718330911352,96.3281669088646,1,0,15.774945600016508
dim,D16,16,5,5042,FA,1905.257425859731,94.7425741402689,2,0,41.055437300005
dim,D16,16,5,5042,PSO,896.8498589165732,103.15014108342672,1,0,21.60190860001603
dim,D16,16,5,5042,GA,-100.90939751257352,100.90939751257352,0,1,45.264846300007775
dim,D16,16,5,5042,ACO,903.6328367214556,96.36716327854442,1,0,47.24364469997818
dim,D16,16,6,6042,ABC,-102.68076615616629,102.68076615616629,0,1,19.515170999977272
dim,D16,16,6,6042,GWO,903.6635522045596,96.3364477954404,1,0,15.676216899999416
dim,D16,16,6,6042,FA,905.146694597356,94.85330540264404,1,0,39.83505359996343
dim,D16,16,6,6042,PSO,-102.91136557893304,102.91136557893304,0,1,21.49295240000356
dim,D16,16,6,6042,GA,-102.96374083837,102.96374083837,0,1,45.30821270000888
dim,D16,16,6,6042,ACO,905.3006552574806,94.6993447425194,1,0,45.43958969996311
dim,D16,16,7,7042,ABC,-115.31823134766957,115.31823134766957,0,1,19.482762600004207
dim,D16,16,7,7042,GWO,888.9966862949461,111.00331370505388,1,0,15.762733999988995
dim,D16,16,7,7042,FA,-115.0692752684167,115.0692752684167,0,1,47.94977289997041
dim,D16,16,7,7042,PSO,-115.40090063461088,115.40090063461088,0,1,19.882506099995226
dim,D16,16,7,7042,GA,-115.34184733443826,115.34184733443826,0,1,46.63722040003631
dim,D16,16,7,7042,ACO,-115.3995004910907,115.3995004910907,0,1,44.18561679997947
dim,D16,16,8,8042,ABC,-111.37875283826192,111.37875283826192,0,1,19.538147899962496
dim,D16,16,8,8042,GWO,895.2033726821031,104.79662731789686,1,0,15.811309200013056
dim,D16,16,8,8042,FA,-111.25335577986428,111.25335577986428,0,1,46.12699360004626
dim,D16,16,8,8042,PSO,-111.21040786762752,111.21040786762752,0,1,18.755846299987752
dim,D16,16,8,8042,GA,-111.38258617470576,111.38258617470576,0,1,49.164594000030775
dim,D16,16,8,8042,ACO,-101.36210835702911,101.36210835702911,0,1,46.08750150003471
dim,D16,16,9,9042,ABC,-108.1384099533154,108.1384099533154,0,1,19.587162099953275
dim,D16,16,9,9042,GWO,904.0056341104964,95.99436588950364,1,0,15.937380300019868
dim,D16,16,9,9042,FA,906.628004305959,93.37199569404092,1,0,42.51718810002785
dim,D16,16,9,9042,PSO,-105.20448964378296,105.20448964378296,0,1,20.89216300001135
dim,D16,16,9,9042,GA,-108.35761480091143,108.35761480091143,0,1,46.61999350000406
dim,D16,16,9,9042,ACO,903.6536020693728,96.34639793062723,1,0,45.84255509998184
dim,D16,16,10,10042,ABC,-96.05352242921252,96.05352242921252,0,1,19.62104370002635
dim,D16,16,10,10042,GWO,903.6650543439232,96.33494565607695,1,0,15.793181099987123
dim,D16,16,10,10042,FA,904.4526466781268,95.54735332187325,1,0,43.32055510004284
dim,D16,16,10,10042,PSO,-95.24952831399192,95.24952831399192,0,1,19.30288550001569
dim,D16,16,10,10042,GA,-96.31493001877456,96.31493001877456,0,1,48.1555944000138
dim,D16,16,10,10042,ACO,903.5775609544612,96.4224390455389,1,0,44.90407140000025
dim,D16,16,11,11042,ABC,-110.04444291804244,110.04444291804244,0,1,19.425896000000648
dim,D16,16,11,11042,GWO,893.4166968105379,106.58330318946209,1,0,15.806888799997978
dim,D16,16,11,11042,FA,-108.0449190817446,108.0449190817446,0,1,48.22625520004658
dim,D16,16,11,11042,PSO,-109.80362010781984,109.80362010781984,0,1,18.440413500007708
dim,D16,16,11,11042,GA,-109.97249472809928,109.97249472809928,0,1,46.19778019998921
dim,D16,16,11,11042,ACO,-108.09981715550322,108.09981715550322,0,1,44.75781010003993
dim,D16,16,12,12042,ABC,-96.51076102410649,96.51076102410649,0,1,19.37905019999016
dim,D16,16,12,12042,GWO,903.9191089328732,96.08089106712666,1,0,15.95779080002103
dim,D16,16,12,12042,FA,905.7647845463554,94.2352154536446,1,0,42.824252200021874
dim,D16,16,12,12042,PSO,-99.43754304381592,99.43754304381592,0,1,19.15191549999872
dim,D16,16,12,12042,GA,-98.596258150556,98.596258150556,0,1,44.6921580999624
dim,D16,16,12,12042,ACO,903.6618861583412,96.3381138416587,1,0,47.354489899997134
dim,D16,16,13,13042,ABC,903.6595571989596,96.3404428010403,1,0,19.5442245999584
dim,D16,16,13,13042,GWO,903.666728701713,96.33327129828687,1,0,15.89803679997567
dim,D16,16,13,13042,FA,905.98864231767,94.01135768233,1,0,45.23782829998527
dim,D16,16,13,13042,PSO,1904.379237280176,95.62076271982424,2,0,18.05597480002325
dim,D16,16,13,13042,GA,1903.8439419100937,96.15605808990628,2,0,44.85110570001416
dim,D16,16,13,13042,ACO,903.6621129853844,96.33788701461566,1,0,46.6505658000242
dim,D16,16,14,14042,ABC,-92.96595117166108,92.96595117166108,0,1,19.476154499978293
dim,D16,16,14,14042,GWO,903.8190017329904,96.18099826700958,1,0,15.956039600016084
dim,D16,16,14,14042,FA,906.9687317895516,93.03126821044836,1,0,44.171163799997885
dim,D16,16,14,14042,PSO,903.6805701449832,96.31942985501684,1,0,19.60507340001641
dim,D16,16,14,14042,GA,905.8388043421268,94.16119565787324,1,0,51.54763990000356
dim,D16,16,14,14042,ACO,903.6614072022,96.33859279780002,1,0,45.58717820001766
dim,D16,16,15,15042,ABC,-112.77439737113052,112.77439737113052,0,1,19.52883769996697
dim,D16,16,15,15042,GWO,894.0112470503102,105.98875294968975,1,0,15.871139299997594
dim,D16,16,15,15042,FA,894.0112470503102,105.98875294968975,1,0,132.96274349995656
dim,D16,16,15,15042,PSO,-108.1300944798045,108.1300944798045,0,1,20.787069500016518
dim,D16,16,15,15042,GA,886.1390241664908,113.86097583350914,1,0,46.03616000001784
dim,D16,16,15,15042,ACO,-112.86432746867108,112.86432746867108,0,1,40.90823770000134
dim,D16,16,16,16042,ABC,-109.4514123972949,109.4514123972949,0,1,19.287866599974222
dim,D16,16,16,16042,GWO,903.6651495469451,96.33485045305476,1,0,15.92666850000387
dim,D16,16,16,16042,FA,907.1010712360944,92.89892876390569,1,0,45.84300140000414
dim,D16,16,16,16042,PSO,-108.87194528429372,108.87194528429372,0,1,18.22900240001036
dim,D16,16,16,16042,GA,-109.4808191861541,109.4808191861541,0,1,49.74681019998389
dim,D16,16,16,16042,ACO,903.6573196605764,96.34268033942348,1,0,44.63717750000069
dim,D16,16,17,17042,ABC,-111.3066408365563,111.3066408365563,0,1,19.433958799985703
dim,D16,16,17,17042,GWO,896.0941612981736,103.9058387018264,1,0,15.94980599998962
dim,D16,16,17,17042,FA,-111.0403116623596,111.0403116623596,0,1,50.64040109998314
dim,D16,16,17,17042,PSO,-111.3134842873348,111.3134842873348,0,1,19.19617210002616
dim,D16,16,17,17042,GA,-111.29500254075955,111.29500254075955,0,1,48.72363069996936
dim,D16,16,17,17042,ACO,-95.79831905990666,95.79831905990666,0,1,40.05862419999903
dim,D16,16,18,18042,ABC,-110.77044974368924,110.77044974368924,0,1,19.39601650001714
dim,D16,16,18,18042,GWO,891.2776599642775,108.72234003572254,1,0,15.873613199975807
dim,D16,16,18,18042,FA,891.2776599642775,108.72234003572254,1,0,135.2431207000045
dim,D16,16,18,18042,PSO,-113.38280664958592,113.38280664958592,0,1,20.556173599965405
dim,D16,16,18,18042,GA,-115.15541608656731,115.15541608656731,0,1,42.89298359997338
dim,D16,16,18,18042,ACO,-115.17612150797176,115.17612150797176,0,1,38.75162190000992
dim,D16,16,19,19042,ABC,-102.23621200181128,102.23621200181128,0,1,19.467812900024
dim,D16,16,19,19042,GWO,903.673561010894,96.326438989106,1,0,16.214074999967124
dim,D16,16,19,19042,FA,916.501865379836,83.498134620164,1,0,54.731154899986
dim,D16,16,19,19042,PSO,-105.06790458722008,105.06790458722008,0,1,21.811572699982207
dim,D16,16,19,19042,GA,-105.01532293017009,105.01532293017009,0,1,53.01628530002199
dim,D16,16,19,19042,ACO,903.6590359256032,96.34096407439682,1,0,36.819041199982166
dim,D16,16,20,20042,ABC,-109.96917240456833,109.96917240456833,0,1,19.561187600018457
dim,D16,16,20,20042,GWO,-101.5651613329177,101.5651613329177,0,1,15.96582290000515
dim,D16,16,20,20042,FA,-110.00096429121854,110.00096429121854,0,1,48.59473460004665
dim,D16,16,20,20042,PSO,-109.27097786566284,109.27097786566284,0,1,20.681611899985
dim,D16,16,20,20042,GA,-110.5785143441984,110.5785143441984,0,1,53.423431000032
dim,D16,16,20,20042,ACO,-110.09083052453649,110.09083052453649,0,1,39.72914700000547
dim,D16,16,21,21042,ABC,-107.41637972547312,107.41637972547312,0,1,19.66553160001058
dim,D16,16,21,21042,GWO,903.6661292499024,96.3338707500977,1,0,16.077411599981133
dim,D16,16,21,21042,FA,903.721121184095,96.27887881590506,1,0,45.89750929997536
dim,D16,16,21,21042,PSO,-101.73834416146622,101.73834416146622,0,1,20.593876499973703
dim,D16,16,21,21042,GA,-106.60882374316924,106.60882374316924,0,1,56.68531410000287
dim,D16,16,21,21042,ACO,903.6156582345312,96.38434176546863,1,0,40.4491449999623
dim,D16,16,22,22042,ABC,-114.89818395735554,114.89818395735554,0,1,19.38114420004422
dim,D16,16,22,22042,GWO,887.116693973723,112.88330602627695,1,0,15.910040499991736
dim,D16,16,22,22042,FA,-110.86647832132056,110.86647832132056,0,1,48.43942319997586
dim,D16,16,22,22042,PSO,-114.53914104229752,114.53914104229752,0,1,21.28697849996388
dim,D16,16,22,22042,GA,-114.9560232465372,114.9560232465372,0,1,49.32701229996746
dim,D16,16,22,22042,ACO,-115.03068497292315,115.03068497292315,0,1,42.6029027000186
dim,D16,16,23,23042,ABC,-95.69790968355828,95.69790968355828,0,1,19.722375400015157
dim,D16,16,23,23042,GWO,903.6647180383752,96.33528196162482,1,0,16.074543199967593
dim,D16,16,23,23042,FA,905.9386567974666,94.0613432025334,1,0,46.60410930000944
dim,D16,16,23,23042,PSO,904.7806836633168,95.21931633668322,1,0,21.52682879997883
dim,D16,16,23,23042,GA,904.2992808866048,95.70071911339524,1,0,54.13115989998914
dim,D16,16,23,23042,ACO,903.6612997053606,96.33870029463932,1,0,39.30932830000529
dim,D16,16,24,24042,ABC,903.6806160877768,96.31938391222322,1,0,19.5194292999804
dim,D16,16,24,24042,GWO,903.6700261507189,96.32997384928116,1,0,15.864190899999812
dim,D16,16,24,24042,FA,907.371165168144,92.62883483185598,1,0,47.56587310001487
dim,D16,16,24,24042,PSO,1906.7961507367384,93.20384926326166,2,0,20.630660300026648
