lambda,case,run,algo,best_fitness,PSRR_DB,penalty,is_feasible,runtime_sec
10000.0,base,6,ABC,-103.05497338501526,103.05497338501526,0,1,3.8682724999962375
10000.0,base,6,GWO,-90.15111253776487,90.15111253776487,0,1,3.4193999000126496
10000.0,base,6,FA,9907.211972188461,92.78802781153824,1,0,7.806872000044677
10000.0,base,6,PSO,-102.27440202846998,102.27440202846998,0,1,2.139417099999264
10000.0,base,6,GA,9904.370440219025,95.62955978097482,1,0,4.486734999984037
10000.0,base,6,ACO,9903.647211623522,96.35278837647738,1,0,3.9086109999916516
10000.0,base,7,ABC,-115.33316326934991,115.33316326934991,0,1,3.880335699999705
10000.0,base,7,GWO,9888.996686294946,111.00331370505387,1,0,3.4075171999866143
10000.0,base,7,FA,-112.46366037216222,112.46366037216222,0,1,8.615508900023997
10000.0,base,7,PSO,-115.39862772574992,115.39862772574992,0,1,2.145488200010732
10000.0,base,7,GA,-115.27562823469651,115.27562823469651,0,1,4.448417600011453
10000.0,base,7,ACO,-115.40123914761472,115.40123914761472,0,1,4.156474299961701
10000.0,base,8,ABC,-111.381056773938,111.381056773938,0,1,4.00924159999704
10000.0,base,8,GWO,9895.203372682103,104.79662731789686,1,0,3.3913929000264034
10000.0,base,8,FA,9895.201659158254,104.79834084174503,1,0,8.847401299979538
10000.0,base,8,PSO,-111.38344741638251,111.38344741638251,0,1,2.230586100020446
10000.0,base,8,GA,-111.38316782725296,111.38316782725296,0,1,4.525661599996965
10000.0,base,8,ACO,-110.69745982256792,110.69745982256792,0,1,4.072712900000624
10000.0,base,9,ABC,-107.68464479456588,107.68464479456588,0,1,4.010490900021978
10000.0,base,9,GWO,-93.45732852724332,93.45732852724332,0,1,3.5193625999963842
10000.0,base,9,FA,-108.70860269919373,108.70860269919373,0,1,8.752387599961367
10000.0,base,9,PSO,-103.89233959752363,103.89233959752363,0,1,2.155179599998519
10000.0,base,9,GA,-108.5301703592985,108.5301703592985,0,1,4.334908200020436
10000.0,base,9,ACO,-103.89233959752357,103.89233959752357,0,1,3.8677739999839105
10000.0,base,10,ABC,-95.80412200186976,95.80412200186976,0,1,3.7923883999465033
10000.0,base,10,GWO,9903.664288099731,96.33571190026805,1,0,3.391399000014644
10000.0,base,10,FA,9907.773954996359,92.22604500364028,1,0,7.878051299951039
10000.0,base,10,PSO,-96.4300877934452,96.4300877934452,0,1,2.1476624000351876
10000.0,base,10,GA,9906.086283044624,93.91371695537607,1,0,4.512933999998495
10000.0,base,10,ACO,9903.577560954462,96.42243904553752,1,0,3.9209280000068247
10000.0,base,11,ABC,-110.02778283762076,110.02778283762076,0,1,3.9456446999683976
10000.0,base,11,GWO,-93.9711980627969,93.9711980627969,0,1,3.4328224000055343
10000.0,base,11,FA,-108.31749988692907,108.31749988692907,0,1,8.59825899999123
10000.0,base,11,PSO,-108.33419109813511,108.33419109813511,0,1,2.132379700022284
10000.0,base,11,GA,-109.92151076418045,109.92151076418045,0,1,4.327868800028227
10000.0,base,11,ACO,-110.06693447291103,110.06693447291103,0,1,3.894761900010053
10000.0,base,12,ABC,-96.776574149188,96.776574149188,0,1,3.8773389999987558
10000.0,base,12,GWO,9903.663986386608,96.33601361339214,1,0,3.410851399996318
10000.0,base,12,FA,9906.717162250074,93.28283774992543,1,0,7.689648700004909
10000.0,base,12,PSO,-99.42783512967017,99.42783512967017,0,1,2.15064359997632
10000.0,base,12,GA,-99.40208088245939,99.40208088245939,0,1,4.2882230000104755
10000.0,base,12,ACO,9903.661584722879,96.33841527712049,1,0,3.9121483999770135
10000.0,base,13,ABC,9903.658464937149,96.34153506285102,1,0,3.9842593999928795
10000.0,base,13,GWO,9903.665339825686,96.33466017431488,1,0,3.615008900000248
10000.0,base,13,FA,9905.809942945505,94.19005705449409,1,0,7.848326999985147
10000.0,base,13,PSO,19905.369894720978,94.63010527902115,2,0,2.161300099978689
10000.0,base,13,GA,9904.493284452557,95.50671554744181,1,0,4.485993200039957
10000.0,base,13,ACO,9903.659554695345,96.34044530465421,1,0,3.904502399964258
10000.0,base,14,ABC,-94.58955334220978,94.58955334220978,0,1,3.836734800017439
10000.0,base,14,GWO,9903.671849650675,96.32815034932511,1,0,3.433999800006859
10000.0,base,14,FA,9905.902568658486,94.09743134151282,1,0,7.721240699989721
10000.0,base,14,PSO,9904.146006424211,95.85399357578832,1,0,2.1283267000108026
10000.0,base,14,GA,-94.9768166022968,94.9768166022968,0,1,4.4397799000144005
10000.0,base,14,ACO,9903.656955004344,96.34304499565503,1,0,3.8606789999757893
10000.0,base,15,ABC,-112.77892642875136,112.77892642875136,0,1,3.7927379999891855
10000.0,base,15,GWO,9894.01124705031,105.98875294968975,1,0,3.4142945000203326
10000.0,base,15,FA,9894.01124705031,105.98875294968975,1,0,15.847285299969371
10000.0,base,15,PSO,-110.00162305425106,110.00162305425106,0,1,2.1824829999823123
10000.0,base,15,GA,9886.14652733643,113.8534726635691,1,0,4.590697000036016
